window_id,symbol,window_start_utc,window_end_utc,point_count
btcusdt_0065,BTCUSDT,2026-02-06T16:32:00Z,2026-02-07T03:11:00Z,640
btcusdt_0066,BTCUSDT,2026-02-06T18:40:00Z,2026-02-07T05:19:00Z,640
btcusdt_0067,BTCUSDT,2026-02-06T20:48:00Z,2026-02-07T07:27:00Z,640
btcusdt_0068,BTCUSDT,2026-02-06T22:56:00Z,2026-02-07T09:35:00Z,640
btcusdt_0069,BTCUSDT,2026-02-07T01:04:00Z,2026-02-07T11:43:00Z,640
btcusdt_0070,BTCUSDT,2026-02-07T03:12:00Z,2026-02-07T13:51:00Z,640
btcusdt_0071,BTCUSDT,2026-02-07T05:20:00Z,2026-02-07T15:59:00Z,640
btcusdt_0072,BTCUSDT,2026-02-07T07:28:00Z,2026-02-07T18:07:00Z,640
btcusdt_0073,BTCUSDT,2026-02-07T09:36:00Z,2026-02-07T20:15:00Z,640
btcusdt_0074,BTCUSDT,2026-02-07T11:44:00Z,2026-02-07T22:23:00Z,640
btcusdt_0075,BTCUSDT,2026-02-07T13:52:00Z,2026-02-08T00:31:00Z,640
btcusdt_0076,BTCUSDT,2026-02-07T16:00:00Z,2026-02-08T02:39:00Z,640
btcusdt_0077,BTCUSDT,2026-02-07T18:08:00Z,2026-02-08T04:47:00Z,640
btcusdt_0078,BTCUSDT,2026-02-07T20:16:00Z,2026-02-08T06:55:00Z,640
btcusdt_0079,BTCUSDT,2026-02-07T22:24:00Z,2026-02-08T09:03:00Z,640
btcusdt_0080,BTCUSDT,2026-02-08T00:32:00Z,2026-02-08T11:11:00Z,640
btcusdt_0081,BTCUSDT,2026-02-08T02:40:00Z,2026-02-08T13:19:00Z,640
btcusdt_0082,BTCUSDT,2026-02-08T04:48:00Z,2026-02-08T15:27:00Z,640
btcusdt_0083,BTCUSDT,2026-02-08T06:56:00Z,2026-02-08T17:35:00Z,640
btcusdt_0084,BTCUSDT,2026-02-08T09:04:00Z,2026-02-08T19:43:00Z,640
btcusdt_0085,BTCUSDT,2026-02-08T11:12:00Z,2026-02-08T21:51:00Z,640
btcusdt_0086,BTCUSDT,2026-02-08T13:20:00Z,2026-02-08T23:59:00Z,640
btcusdt_0087,BTCUSDT,2026-02-08T15:28:00Z,2026-02-09T02:07:00Z,640
btcusdt_0088,BTCUSDT,2026-02-08T17:36:00Z,2026-02-09T04:15:00Z,640
btcusdt_0089,BTCUSDT,2026-02-08T19:44:00Z,2026-02-09T06:23:00Z,640
btcusdt_0090,BTCUSDT,2026-02-08T21:52:00Z,2026-02-09T08:31:00Z,640
btcusdt_0091,BTCUSDT,2026-02-09T00:00:00Z,2026-02-09T10:39:00Z,640
btcusdt_0092,BTCUSDT,2026-02-09T02:08:00Z,2026-02-09T12:47:00Z,640
btcusdt_0093,BTCUSDT,2026-02-09T04:16:00Z,2026-02-09T14:55:00Z,640
btcusdt_0094,BTCUSDT,2026-02-09T06:24:00Z,2026-02-09T17:03:00Z,640
btcusdt_0095,BTCUSDT,2026-02-09T08:32:00Z,2026-02-09T19:11:00Z,640
btcusdt_0096,BTCUSDT,2026-02-09T10:40:00Z,2026-02-09T21:19:00Z,640
btcusdt_0097,BTCUSDT,2026-02-09T12:48:00Z,2026-02-09T23:27:00Z,640
btcusdt_0098,BTCUSDT,2026-02-09T14:56:00Z,2026-02-10T01:35:00Z,640
btcusdt_0099,BTCUSDT,2026-02-09T17:04:00Z,2026-02-10T03:43:00Z,640
btcusdt_0100,BTCUSDT,2026-02-09T19:12:00Z,2026-02-10T05:51:00Z,640
btcusdt_0101,BTCUSDT,2026-02-09T21:20:00Z,2026-02-10T07:59:00Z,640
btcusdt_0102,BTCUSDT,2026-02-09T23:28:00Z,2026-02-10T10:07:00Z,640
btcusdt_0103,BTCUSDT,2026-02-10T01:36:00Z,2026-02-10T12:15:00Z,640
btcusdt_0104,BTCUSDT,2026-02-10T03:44:00Z,2026-02-10T14:23:00Z,640
btcusdt_0105,BTCUSDT,2026-02-10T05:52:00Z,2026-02-10T16:31:00Z,640
btcusdt_0106,BTCUSDT,2026-02-10T08:00:00Z,2026-02-10T18:39:00Z,640
btcusdt_0107,BTCUSDT,2026-02-10T10:08:00Z,2026-02-10T20:47:00Z,640
btcusdt_0108,BTCUSDT,2026-02-10T12:16:00Z,2026-02-10T22:55:00Z,640
btcusdt_0109,BTCUSDT,2026-02-10T14:24:00Z,2026-02-11T01:03:00Z,640
btcusdt_0110,BTCUSDT,2026-02-10T16:32:00Z,2026-02-11T03:11:00Z,640
btcusdt_0111,BTCUSDT,2026-02-10T18:40:00Z,2026-02-11T05:19:00Z,640
btcusdt_0112,BTCUSDT,2026-02-10T20:48:00Z,2026-02-11T07:27:00Z,640
btcusdt_0113,BTCUSDT,2026-02-10T22:56:00Z,2026-02-11T09:35:00Z,640
btcusdt_0114,BTCUSDT,2026-02-11T01:04:00Z,2026-02-11T11:43:00Z,640
btcusdt_0115,BTCUSDT,2026-02-11T03:12:00Z,2026-02-11T13:51:00Z,640
btcusdt_0116,BTCUSDT,2026-02-11T05:20:00Z,2026-02-11T15:59:00Z,640
btcusdt_0117,BTCUSDT,2026-02-11T07:28:00Z,2026-02-11T18:07:00Z,640
btcusdt_0118,BTCUSDT,2026-02-11T09:36:00Z,2026-02-11T20:15:00Z,640
btcusdt_0119,BTCUSDT,2026-02-11T11:44:00Z,2026-02-11T22:23:00Z,640
btcusdt_0120,BTCUSDT,2026-02-11T13:52:00Z,2026-02-12T00:31:00Z,640
btcusdt_0121,BTCUSDT,2026-02-11T16:00:00Z,2026-02-12T02:39:00Z,640
btcusdt_0122,BTCUSDT,2026-02-11T18:08:00Z,2026-02-12T04:47:00Z,640
btcusdt_0123,BTCUSDT,2026-02-11T20:16:00Z,2026-02-12T06:55:00Z,640
btcusdt_0124,BTCUSDT,2026-02-11T22:24:00Z,2026-02-12T09:03:00Z,640
btcusdt_0125,BTCUSDT,2026-02-12T00:32:00Z,2026-02-12T11:11:00Z,640
btcusdt_0126,BTCUSDT,2026-02-12T02:40:00Z,2026-02-12T13:19:00Z,640
btcusdt_0127,BTCUSDT,2026-02-12T04:48:00Z,2026-02-12T15:27:00Z,640
btcusdt_0128,BTCUSDT,2026-02-12T06:56:00Z,2026-02-12T17:35:00Z,640
