ds,step,forecast_close,predicted_return_pct
2026-04-12 15:55:00+00:00,1,70891.0546875,-0.03628944922633437
2026-04-12 15:56:00+00:00,2,70900.5546875,-0.022893467823337232
2026-04-12 15:57:00+00:00,3,70896.0546875,-0.029238932698438802
2026-04-12 15:58:00+00:00,4,70902.203125,-0.0205690006555459
2026-04-12 15:59:00+00:00,5,70906.7734375,-0.014124387891767398
